"Occupation Title","Occupation Code","Employment 2020","Employment 2030","Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average","Median Annual Wage 2020","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"First-line supervisors of police and detectives    * Commanding Officer Homicide Squad* Detective Lieutenant* Detective Supervisor* Police Lieutenant* Traffic Lieutenant* Traffic Sergeant","=""33-1012""","125.8","134.3","8.5","6.8","9.1","92,970","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"First-line supervisors of production and operating workers    * Assembly Line Supervisor* Assembly Supervisor* Die Cast Supervisor* Machine Assembler Supervisor* Machinist Supervisor* Molding Supervisor* Paper Machine Supervisor* Printing Supervisor* Printing Worker Supervisor* Tool Room Supervisor","=""51-1011""","616.8","639.6","22.7","3.7","63.4","62,850","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of retail sales workers    * Assistant Store Manager* Cashier Manager* Cashier Supervisor* Delicatessen Department Manager* Produce Department Supervisor* Sales Clerk Supervisor* Used Car Sales Supervisor","=""41-1011""","1,390.6","1,300.4","-90.2","-6.5","131.8","41,580","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of transportation and material-moving workers, except aircraft cargo handling supervisors","=""53-1047""","536.1","567.0","30.9","5.8","61.5","54,870","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Fish and game wardens    * Conservation Enforcement Officer* Fish Warden* Fish and Game Warden* Fish and Wildlife Warden* Game Warden* Wildlife Control Agent* Wildlife Officer* Wildlife and Game Protector","=""33-3031""","7.5","7.5","0.0","0.2","0.8","58,040","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Fishing and hunting workers","=""45-3031""","32.3","35.8","3.4","10.6","5.3","N/A","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Flight attendants    * Airline Flight Attendant* Airplane Flight Attendant* Flight Steward","=""53-2031""","102.5","133.6","31.1","30.4","17.6","59,050","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Floor layers, except carpet, wood, and hard tiles    * Composition Floor Layer* Cork Floor Installer* Laminate Floor Installer* Linoleum Installer* Resilient Tile Installer* Shock-Absorption Floor Layer* Vinyl Flooring Installer* Vinyl Installer","=""47-2042""","23.7","26.6","2.9","12.3","2.4","45,520","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Floor sanders and finishers    * Floor Finisher* Floor Refinisher* Floor Sander* Floor Sanding Machine Operator* Floor Scraper* Hardwood Finisher","=""47-2043""","7.2","7.5","0.3","4.5","0.7","38,850","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Floral designers    * Corsage Maker* Floral Arranger* Floral Artist* Floral Decorator* Florist* Florist Designer* Flower Arranger","=""27-1023""","42.3","33.8","-8.5","-20.1","2.6","29,140","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Food and tobacco roasting, baking, and drying machine operators and tenders    * Bean Roaster* Coffee Roaster* Fish Smoker* Food Dehydrator Operator* Grain Roaster* Malt House Kiln Operator* Meat Curer* Meat Smoker* Sausage Smoker* Smokehouse Worker* Tobacco Drier Operator","=""51-3091""","19.0","19.9","0.8","4.4","2.3","32,480","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Food batchmakers    * Almond Paste Mixer* Candy Maker* Candy Puller* Cheese Processor* Cottage Cheese Maker* Dough Scaler and Mixer* Frozen Yogurt Maker* Honey Blender* Ice Cream Maker* Liquid Sugar Fortifier* Peanut Butter Maker* Pickle Maker* Relish Maker* Taffy Puller","=""51-3092""","159.3","168.3","8.9","5.6","20.7","32,710","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Food cooking machine operators and tenders    * Doughnut Machine Operator* Dumpling Machine Operator* Fish Fryer* Food Cooking Machine Operator* Kettle Fry Cook Operator* Pierogi Maker* Potato Chip Frier* Tripe Cooker","=""51-3093""","26.8","28.2","1.4","5.1","4.8","33,010","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Food preparation and serving related workers, all other    * Kitchen Steward","=""35-9099""","71.2","87.4","16.2","22.8","15.3","27,080","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Food preparation workers    * Deli Clerk* Deli Slicer* Food Preparer* Fruit and Vegetable Parer* Salad Maker* Sandwich Maker","=""35-2021""","821.2","873.8","52.6","6.4","149.8","26,070","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Food processing workers, all other    * Olive Pitter* Pasta Press Operator* Poultry Hanger* Yeast Maker","=""51-3099""","45.0","46.7","1.7","3.8","4.8","29,620","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Food scientists and technologists    * Dairy Bacteriologist* Enologist* Food Preservation Scientist* Food Processing Scientist* Food Safety Scientist* Food Scientist* Food Technologist","=""19-1012""","15.0","16.1","1.0","6.7","1.7","73,450","Bachelor's degree","3","None","4","None","6"
"Food servers, nonrestaurant    * Boat Hop* Hospital Food Service Worker* Room Service Food Server","=""35-3041""","251.3","286.0","34.7","13.8","45.7","25,910","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Food service managers    * Banquet Director* Banquet Manager* Cafeteria Director* Food Service Director* Food Service Manager* Food and Beverage Manager* Restaurant General Manager* Tavern Operator","=""11-9051""","309.8","355.9","46.2","14.9","41.4","56,590","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Foreign language and literature teachers, postsecondary    * Arabic Professor* Biblical Languages Professor* Chinese Language Professor* French Professor* German Professor* Greek Professor* Hebrew Professor* Japanese Professor* Russian Language Professor* Spanish Literature Professor","=""25-1124""","27.1","29.7","2.6","9.4","2.9","69,920","Doctoral or professional degree","1","None","4","None","6"
"Forensic science technicians    * Ballistic Technician* Ballistician* Ballistics Expert* Crime Lab Technician* Crime Scene Technician* Criminalist Technician* Fingerprint Expert* Forensic Analyst* Forensic Science Technician* Handwriting Expert* Trace Evidence Technician* Wildlife Forensic Geneticist","=""19-4092""","17.2","19.8","2.7","15.6","2.5","60,590","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Forest and conservation technicians","=""19-4071""","33.0","33.3","0.2","0.7","4.0","38,940","Associate's degree","4","None","4","None","6"
"Forest and conservation workers    * Forest Nursery Worker* Forester Aide* Forestry Laborer* Rangelands Conservation Laborer* Reforestation Worker* Seedling Puller* Wetlands Conservation Laborer","=""45-4011""","12.6","11.6","-1.0","-8.0","1.8","30,640","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Forest fire inspectors and prevention specialists    * Environmental Protection Fire Control Officer* Fire Control Officer* Fire Operations Forester* Fire Ranger* Forest Fire Control Officer* Forest Fire Officer* Wildfire Prevention Specialist* Wildland Fire Operations Specialist","=""33-2022""","3.0","3.7","0.7","23.9","0.4","42,150","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Foresters    * Environmental Protection Forester* Forest Ecologist* Forestry Scientist* Land Management Forester* Operations Forester* Resource Forester* Service Forester* Timber Management Specialist* Urban Forester","=""19-1032""","13.7","15.1","1.4","10.0","1.4","63,980","Bachelor's degree","3","None","4","None","6"
"Forestry and conservation science teachers, postsecondary    * Ecology Professor* Environmental Conservation Professor* Forest Biometrics Professor* Forest Ecology Professor* Forest Management Professor* Forest Pathology Professor* Forest Resources Professor* Forest Technology Professor* Silviculture Professor* Timber Management Professor* Wildlife Conservation Professor","=""25-1043""","1.7","1.8","0.1","5.5","0.2","87,400","Doctoral or professional degree","1","None","4","None","6"
"Forging machine setters, operators, and tenders, metal and plastic    * Cold Header Operator* Forging Roll Operator* Header Setup Operator* Spike Machine Operator* Swager Operator* Swaging Machine Operator","=""51-4022""","13.7","11.9","-1.8","-13.2","1.1","41,430","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Foundry mold and coremakers    * Airset Caster* Airset Molder* Core Stripper* Foundry Molder* Green Sand Molder* No Bake Molder* Sand Molder* Wax Pattern Coater","=""51-4071""","15.8","15.3","-0.5","-3.3","1.5","37,140","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Fundraisers    * Campaign Fundraiser* Donor Relations Officer* Fundraising Officer","=""13-1131""","101.3","117.5","16.1","15.9","12.0","59,610","Bachelor's degree","3","None","4","None","6"
"Funeral attendants    * Funeral Assistant* Funeral Attendant* Funeral Greeter* Funeral Home Assistant* Funeral Home Associate* Mortician Helper* Pallbearer* Undertaker Helper","=""39-4021""","42.3","43.7","1.4","3.3","5.8","29,150","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Funeral home managers","=""11-9171""","12.5","12.9","0.4","3.2","1.0","74,200","Associate's degree","4","Less than 5 years","2","None","6"
"Furnace, kiln, oven, drier, and kettle operators and tenders    * Calciner Operator* Dry Kiln Operator* Induction Furnace Operator* Lime Kiln Operator* Lumber Kiln Operator* Rubber Curer* Soap Drier Tender* Tunnel Kiln Operator","=""51-9051""","17.8","18.7","0.9","4.9","1.8","40,670","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Furniture finishers    * Cabinet Finisher* Furniture Refinisher* Furniture Sander* Piano Refinisher* Wood Cabinet Finisher","=""51-7021""","18.1","19.1","1.0","5.8","2.6","32,970","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Gambling and sports book writers and runners    * Betting Clerk* Bookie* Casino Floor Runner* Keno Runner* Keno Writer* Race Book Writer* Race and Sports Book Writer* Sports Book Board Attendant* Sportsbook Ticket Writer","=""39-3012""","8.0","10.3","2.3","28.5","1.5","25,220","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Gambling cage workers    * Cage Cashier* Casino Cage Cashier* Casino Cashier* Gaming Cage Cashier* Gaming Cashier","=""43-3041""","11.3","13.5","2.2","19.5","1.5","28,650","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Gambling change persons and booth cashiers    * Mutuel Teller* Slot Attendant","=""41-2012""","14.7","17.3","2.7","18.1","3.2","27,080","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Gambling dealers    * 21 Dealer* Blackjack Dealer* Casino Dealer* Casino Games Dealer* Craps Dealer* Keno Dealer* Poker Dealer* Roulette Dealer* Table Games Dealer","=""39-3011""","74.1","91.9","17.8","24.0","13.8","23,740","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Gambling managers    * Bingo Manager* Casino Manager* Gaming Department Head* Gaming Director* Gaming Manager* Slot Operations Director* Slots Manager* Table Games Manager","=""11-9071""","3.9","4.7","0.8","20.1","0.4","75,470","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Gambling service workers, all other    * Card Table Attendant* Pit Clerk* Poker Prop Player* Proposition Player* Shill","=""39-3019""","9.2","11.7","2.5","27.2","1.8","29,360","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Gambling surveillance officers and gambling investigators    * Casino Investigator* Casino Surveillance Officer* Gambling Monitor* Gaming Surveillance Observer* Gaming Surveillance Officer","=""33-9031""","8.7","10.1","1.4","15.5","1.4","35,300","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Gas compressor and gas pumping station operators    * Acetylene Gas Compressor* Butane Compressor Operator* Compressor Station Operator* Gas Compressor Operator* Gas Cylinder Processor* Gas Storage Operator* High Pressure Compressed Gas Filler* LNG Plant Operator* Liquid Natural Gas Plant Operator","=""53-7071""","4.1","4.0","-0.1","-1.4","0.4","67,840","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
